Week 1,,,,,,,,,,Week 2,,,,,,,,,,Week 3,,,,,,,,,,Week 4,,,,,,,,
"Day 1 (Bench Heavy, Speed Bench, Upper Hypertrophy)",,,,,,,,,,"Day 1 (Bench Heavy, Speed Bench, Upper Hypertrophy)",,,,,,,,,,"Day 1 (Bench Heavy, Speed Bench, Upper Hypertrophy)",,,,,,,,,,"Day 1 (Bench Heavy, Speed Bench, Upper Hypertrophy)",,,,,,,,
,Set 1,,Set 2,,Set 3,,Set 4,,,,Set 1,,Set 2,,Set 3,,Set 4,,,,Set 1,,Set 2,,Set 3,,Set 4,,,,Set 1,,Set 2,,Set 3,,Set 4,
Bench,75,x5,75,x5,75.0,AMRAP,,,,Bench,75,x5,75,x5,75,AMRAP,,,,Bench,75.00,x5,75.00,x5,75.00,AMRAP,,,,Bench,80.00,x3,80.00,x3,80.00,x3,75.00,AMRAP
Speed Bench,60,x3,60,x3,,,,,,Speed Bench,60,x3,60,x3,,,,,,Speed Bench,60.00,x3,60.00,x3,,,,,,Speed Bench,60.00,x3,60.00,x3,,,,
Pec Dec,,x6-8,,x6-8,,,,,,Pec Dec,,x6-8,,x6-8,,,,,,Pec Dec,,x6-8,,x6-8,,,,,,Pec Dec,,x6-8,,,,,,
Dumbell Shoulder Press,,x6-8,,x6-8,,,,,,Dumbell Shoulder Press,,x6-8,,x6-8,,,,,,Dumbell Shoulder Press,,x6-8,,x6-8,,,,,,Dumbell Shoulder Press,,x6-8,,,,,,
High Rack Pulls,,x5-7,,x5-7,,,,,,90s Sustained Hold,,1x90sec,,,,,,,,High Rack Pulls,,x5-7,,x5-7,,,,,,90s Sustained Hold,,1x90sec,,,,,,
Wide-Grip Seated Row,,x10-12,,x10-12,,,,,,Wide-Grip Seated Row,,x10-12,,x10-12,,,,,,Wide-Grip Seated Row,,x10-12,,x10-12,,,,,,Wide-Grip Seated Row,,x10-12,,x10-12,,,,
Wide-Grip Pull-ups,,x10-12,,x10-12,,,,,,Wide-Grip Pull-ups,,x10-12,,x10-12,,,,,,Wide-Grip Pull-ups,,x10-12,,x10-12,,,,,,Wide-Grip Pull-ups,,x10-12,,,,,,
Dumbell OHP,,x6-8,,x6-8,,,,,,Dumbell OHP,,x6-8,,x6-8,,,,,,Dumbell OHP,,x6-8,,x6-8,,,,,,Dumbell OHP,,x6-8,,,,,,
Hammer curls,,x8-10,,x8-10,,,,,,Hammer curls,,x8-10,,x8-10,,,,,,Hammer curls,,x8-10,,x8-10,,,,,,Hammer curls,,x8-10,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Day 2 (Squat Heavy, Speed Squats, Lower Hypertrophy)",,,,,,,,,,"Day 2 (Squat Heavy, Speed Squats, Lower Hypertrophy)",,,,,,,,,,"Day 2 (Squat Heavy, Speed Squats, Lower Hypertrophy)",,,,,,,,,,"Day 2 (Squat Heavy, Speed Squats, Lower Hypertrophy)",,,,,,,,
,Set 1,,Set 2,,Set 3,,Set 4,,,,Set 1,,Set 2,,Set 3,,Set 4,,,,Set 1,,Set 2,,Set 3,,Set 4,,,,Set 1,,Set 2,,Set 3,,Set 4,
Squat,75,x5,75.00,x5,75,AMRAP,,,,Squat,75,x5,75,x5,80,AMRAP,,,,Squat,75.00,x5,75.00,x5,75.00,AMRAP,,,,Squat,80.00,x3,80.00,x3,80.00,x3,75.00,AMRAP
Speed Squats,60,x3,60.00,x3,,,,,,Speed Squats,65,x3,65,x3,,,,,,Speed Squats,60.00,x3,60.00,x3,,,,,,Speed Squats,60.00,x3,60.00,x3,,,,
Paused Squats,,x10-12,,x10-12,,,,,,Paused Squats,,x10-12,,x10-12,,,,,,Paused Squats,,x10-12,,x10-12,,,,,,Paused Squats,,x3,,,,,,
Defecit Deadlifts (1.5-2.5 inch),,x10-12,,x10-12,,,,,,Defecit Deadlifts (1.5-2.5 inch),,x10-12,,x10-12,,,,,,Defecit Deadlifts (1.5-2.5 inch),,x10-12,,x10-12,,,,,,Defecit Deadlifts (1.5-2.5 inch),,x10-12,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Day 3 (HIIT, Prowler, Mobility)",,,,,,,,,,"Day 3 (HIIT, Prowler, Mobility)",,,,,,,,,,"Day 3 (HIIT, Prowler, Mobility)",,,,,,,,,,"Day 3 (HIIT, Prowler, Mobility)",,,,,,,,
Bike HIIT x3,30s,Hard,3-4m,Slow,,,,,,Bike HIIT,30s,Hard,3-4m,Slow,,,,,,Bike HIIT,30s,Hard,3-4m,Slow,x3,,,,,Bike HIIT,30s,Hard,3-4m,Slow,x3,,,
EMOTM Prowler Runs,,x4,,,,,,,,EMOTM Prowler Runs,,x4,,,,,,,,EMOTM Prowler Runs,,x4,,,,,,,,EMOTM Prowler Runs,,x4,,,,,,
Mobility Routine ,,,,,,,,,,Mobility Routine ,,,,,,,,,,Mobility Routine ,,,,,,,,,,Mobility Routine ,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
